"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"RED_IZO";"IČO";"Zřizovatel";"Území";"ORP";"Plný název";"Zkrácený název";"Ulice";"č.p.";"č.or.";"č.obce";"PSČ";"Místo";"Telefon";"Fax";"Email 1";"Email 2";"WWW";"Ředitel";"IZO";"Typ";"Druh/typ";"Ulice";"č.p.";"č.or.";"č.obce";"PSČ";"Místo";"Kapacita"
"600006077";"48551694";"6";"CZ0118";"1108";"Dvouletá katolická střední škola";"Dvouletá katolická střední škola";"Vítkova";"15";"12";"Karlín";"18600";"Praha 8";"221 722 831";"221 722 899";"scuola@volny.cz";"";"www.dkss.cz";"RNDr. Mgr. Helena Kotásková";"110380223";"C00";"Střední škola";"Vítkova";"15";"12";"Karlín";"18600";"Praha 8";"48"
"600006077";"48551694";"6";"CZ0118";"1108";"Dvouletá katolická střední škola";"Dvouletá katolická střední škola";"Vítkova";"15";"12";"Karlín";"18600";"Praha 8";"221 722 831";"221 722 899";"scuola@volny.cz";"";"www.dkss.cz";"RNDr. Mgr. Helena Kotásková";"181037572";"G11";"Dům dětí a mládeže";"Vítkova";"15";"12";"Karlín";"18600";"Praha 8";"0"
"600006077";"48551694";"6";"CZ0118";"1108";"Dvouletá katolická střední škola";"Dvouletá katolická střední škola";"Vítkova";"15";"12";"Karlín";"18600";"Praha 8";"221 722 831";"221 722 899";"scuola@volny.cz";"";"www.dkss.cz";"RNDr. Mgr. Helena Kotásková";"110007468";"H22";"Domov mládeže";"Vítkova";"15";"12";"Karlín";"18600";"Praha 8";"40"
"600006077";"48551694";"6";"CZ0118";"1108";"Dvouletá katolická střední škola";"Dvouletá katolická střední škola";"Vítkova";"15";"12";"Karlín";"18600";"Praha 8";"221 722 831";"221 722 899";"scuola@volny.cz";"";"www.dkss.cz";"RNDr. Mgr. Helena Kotásková";"110007476";"L11";"Školní jídelna";"Vítkova";"15";"12";"Karlín";"18600";"Praha 8";"200"
"600007154";"641065";"6";"CZ0214";"2110";"Dvouletá katolická střední škola a mateřská škola";"Dvouletá katolická SŠ a MŠ";"Legerova";"28";"";"Kolín III";"28002";"Kolín";"321 722 079";"není";"dks.kolin@centrum.cz";"";"http://www.dks-kolin.cz";"Mgr. Libuše Kubíčková";"110036085";"A00";"Mateřská škola";"Legerova";"28";"";"Kolín III";"28002";"Kolín";"30"
"600007154";"641065";"6";"CZ0214";"2110";"Dvouletá katolická střední škola a mateřská škola";"Dvouletá katolická SŠ a MŠ";"Legerova";"28";"";"Kolín III";"28002";"Kolín";"321 722 079";"není";"dks.kolin@centrum.cz";"";"http://www.dks-kolin.cz";"Mgr. Libuše Kubíčková";"641065";"C00";"Střední škola";"Legerova";"28";"";"Kolín III";"28002";"Kolín";"50"
"600007154";"641065";"6";"CZ0214";"2110";"Dvouletá katolická střední škola a mateřská škola";"Dvouletá katolická SŠ a MŠ";"Legerova";"28";"";"Kolín III";"28002";"Kolín";"321 722 079";"není";"dks.kolin@centrum.cz";"";"http://www.dks-kolin.cz";"Mgr. Libuše Kubíčková";"108002896";"L11";"Školní jídelna";"Legerova";"28";"";"Kolín III";"28002";"Kolín";"90"
"600007391";"69540";"7";"CZ0216";"2114";"Střední odborné učiliště, Liběchov, Boží Voda 230";"Střední odborné učiliště";"";"230";"";"Liběchov";"27721";"Liběchov";"315 697 020";"315 697 272";"info@soulibechov.cz";"vit.faltejsek@soulibechov.cz";"http://www.soulibechov.cz";"Ing. Bc. Vít Faltejsek";"69540";"C00";"Střední škola";"";"230";"";"Liběchov";"27721";"Liběchov";"628"
"600007391";"69540";"7";"CZ0216";"2114";"Střední odborné učiliště, Liběchov, Boží Voda 230";"Střední odborné učiliště";"";"230";"";"Liběchov";"27721";"Liběchov";"315 697 020";"315 697 272";"info@soulibechov.cz";"vit.faltejsek@soulibechov.cz";"http://www.soulibechov.cz";"Ing. Bc. Vít Faltejsek";"110027931";"H21";"Internát";"";"230";"";"Liběchov";"27721";"Liběchov";"22"
"600007391";"69540";"7";"CZ0216";"2114";"Střední odborné učiliště, Liběchov, Boží Voda 230";"Střední odborné učiliště";"";"230";"";"Liběchov";"27721";"Liběchov";"315 697 020";"315 697 272";"info@soulibechov.cz";"vit.faltejsek@soulibechov.cz";"http://www.soulibechov.cz";"Ing. Bc. Vít Faltejsek";"110016246";"H22";"Domov mládeže";"";"230";"";"Liběchov";"27721";"Liběchov";"20"
"600007391";"69540";"7";"CZ0216";"2114";"Střední odborné učiliště, Liběchov, Boží Voda 230";"Střední odborné učiliště";"";"230";"";"Liběchov";"27721";"Liběchov";"315 697 020";"315 697 272";"info@soulibechov.cz";"vit.faltejsek@soulibechov.cz";"http://www.soulibechov.cz";"Ing. Bc. Vít Faltejsek";"110016254";"L11";"Školní jídelna";"";"230";"";"Liběchov";"27721";"Liběchov";"370"
"600010368";"18383696";"7";"CZ0422";"4203";"Střední škola technická, gastronomická a automobilní, Chomutov, příspěvková organizace";"SŠ technická, gastronom. a automobilní";"Pražská";"702";"10";"Chomutov";"43001";"Chomutov";"474 651 849";"474 651 848";"tgacv@tgacv.cz";"";"http://www.tgacv.cz";"Ing. Václav Sailer";"107850079";"C00";"Střední škola";"Pražská";"702";"10";"Chomutov";"43001";"Chomutov";"3508"
